Hospital,Doctor,Stent Type
AIIMS Delhi,Dr. Rajesh Mehta,Orsiro Mission
Max Saket,Dr. Priya Nair,Promus Premier
AIIMS Delhi,Dr. Kiran Patel,Resolute Onyx
Lilavati Hospital,Dr. Sneha Reddy,Xience Alpine
Apollo Hospital,Dr. Neha Kapoor,Synergy Megatron
Max Saket,Dr. Kiran Patel,MiStent SES
Apollo Hospital,Dr. Kiran Patel,Synergy Megatron
Kokilaben Dhirubhai,Dr. Sneha Reddy,Synergy Megatron
Sir Ganga Ram,Dr. Deepa Rao,Orsiro Mission
Apollo Hospital,Dr. Anil Sharma,BioMatrix Alpha
Manipal Hospital,Dr. Amit Gupta,Promus Premier
Max Saket,Dr. Rohan Verma,Resolute Onyx
AIIMS Delhi,Dr. Sneha Reddy,Resolute Onyx
Manipal Hospital,Dr. Rohan Verma,MiStent SES
Medanta Medicity,Dr. Rajesh Mehta,Yukon Choice PC
Kokilaben Dhirubhai,Dr. Neha Kapoor,BioMatrix Alpha
AIIMS Delhi,Dr. Kiran Patel,Orsiro Mission
Lilavati Hospital,Dr. Rohan Verma,MiStent SES
Max Saket,Dr. Neha Kapoor,Xience Alpine
Max Saket,Dr. Amit Gupta,Resolute Onyx
Max Saket,Dr. Neha Kapoor,BioMatrix Alpha
Medanta Medicity,Dr. Arjun Singh,Ultimaster Nagomi
Fortis Gurgaon,Dr. Rohan Verma,Ultimaster Nagomi
Max Saket,Dr. Amit Gupta,Resolute Onyx
Lilavati Hospital,Dr. Anil Sharma,Supraflex Cruz
Max Saket,Dr. Anil Sharma,Yukon Choice PC
Narayana Health,Dr. Amit Gupta,Supraflex Cruz
Max Saket,Dr. Rohan Verma,Xience Alpine
Max Saket,Dr. Rajesh Mehta,Ultimaster Nagomi
Narayana Health,Dr. Amit Gupta,Resolute Onyx
Max Saket,Dr. Deepa Rao,Ultimaster Nagomi
Max Saket,Dr. Arjun Singh,BioMatrix Alpha
Sir Ganga Ram,Dr. Anil Sharma,Orsiro Mission
Fortis Gurgaon,Dr. Priya Nair,Supraflex Cruz
Kokilaben Dhirubhai,Dr. Amit Gupta,MiStent SES
Narayana Health,Dr. Deepa Rao,BioMatrix Alpha
Manipal Hospital,Dr. Priya Nair,Promus Premier
Kokilaben Dhirubhai,Dr. Arjun Singh,Resolute Onyx
Apollo Hospital,Dr. Neha Kapoor,Promus Premier
Fortis Gurgaon,Dr. Sneha Reddy,MiStent SES
AIIMS Delhi,Dr. Sneha Reddy,BioMatrix Alpha
Lilavati Hospital,Dr. Arjun Singh,Supraflex Cruz
Medanta Medicity,Dr. Kiran Patel,Xience Alpine
AIIMS Delhi,Dr. Kiran Patel,Orsiro Mission
Manipal Hospital,Dr. Neha Kapoor,Orsiro Mission
Narayana Health,Dr. Anil Sharma,Yukon Choice PC
Apollo Hospital,Dr. Amit Gupta,Supraflex Cruz
Fortis Gurgaon,Dr. Kiran Patel,Resolute Onyx
Medanta Medicity,Dr. Kiran Patel,MiStent SES
Max Saket,Dr. Anil Sharma,Ultimaster Nagomi
Fortis Gurgaon,Dr. Kiran Patel,Supraflex Cruz
Apollo Hospital,Dr. Deepa Rao,Ultimaster Nagomi
Sir Ganga Ram,Dr. Rajesh Mehta,Resolute Onyx
Manipal Hospital,Dr. Amit Gupta,Synergy Megatron
Apollo Hospital,Dr. Priya Nair,MiStent SES
AIIMS Delhi,Dr. Neha Kapoor,Yukon Choice PC
AIIMS Delhi,Dr. Kiran Patel,Promus Premier
Fortis Gurgaon,Dr. Arjun Singh,Supraflex Cruz
Fortis Gurgaon,Dr. Amit Gupta,Supraflex Cruz
Lilavati Hospital,Dr. Sneha Reddy,Synergy Megatron
Kokilaben Dhirubhai,Dr. Priya Nair,Orsiro Mission
Narayana Health,Dr. Rohan Verma,Yukon Choice PC
Kokilaben Dhirubhai,Dr. Arjun Singh,Resolute Onyx
Max Saket,Dr. Priya Nair,Resolute Onyx
Manipal Hospital,Dr. Rajesh Mehta,MiStent SES
Kokilaben Dhirubhai,Dr. Priya Nair,MiStent SES
Max Saket,Dr. Rajesh Mehta,Resolute Onyx
Apollo Hospital,Dr. Priya Nair,Resolute Onyx
Apollo Hospital,Dr. Rohan Verma,Resolute Onyx
Kokilaben Dhirubhai,Dr. Priya Nair,Orsiro Mission
Sir Ganga Ram,Dr. Priya Nair,Supraflex Cruz
Fortis Gurgaon,Dr. Deepa Rao,MiStent SES
Sir Ganga Ram,Dr. Priya Nair,Yukon Choice PC
Narayana Health,Dr. Priya Nair,Resolute Onyx
AIIMS Delhi,Dr. Sneha Reddy,Ultimaster Nagomi
Narayana Health,Dr. Sneha Reddy,Yukon Choice PC
Apollo Hospital,Dr. Neha Kapoor,Xience Alpine
Narayana Health,Dr. Rohan Verma,Resolute Onyx
Max Saket,Dr. Priya Nair,Synergy Megatron
Kokilaben Dhirubhai,Dr. Arjun Singh,Promus Premier
Narayana Health,Dr. Anil Sharma,Orsiro Mission
Sir Ganga Ram,Dr. Priya Nair,Resolute Onyx
Sir Ganga Ram,Dr. Kiran Patel,Resolute Onyx
Apollo Hospital,Dr. Kiran Patel,Xience Alpine
AIIMS Delhi,Dr. Priya Nair,Promus Premier
Narayana Health,Dr. Arjun Singh,Yukon Choice PC
Max Saket,Dr. Sneha Reddy,Xience Alpine
Fortis Gurgaon,Dr. Sneha Reddy,Xience Alpine
Narayana Health,Dr. Amit Gupta,Yukon Choice PC
Medanta Medicity,Dr. Sneha Reddy,Supraflex Cruz
Sir Ganga Ram,Dr. Anil Sharma,Synergy Megatron
Medanta Medicity,Dr. Priya Nair,Xience Alpine
Lilavati Hospital,Dr. Kiran Patel,Xience Alpine
Manipal Hospital,Dr. Rajesh Mehta,Xience Alpine
Lilavati Hospital,Dr. Arjun Singh,Supraflex Cruz
Kokilaben Dhirubhai,Dr. Anil Sharma,Xience Alpine
Kokilaben Dhirubhai,Dr. Neha Kapoor,Promus Premier
AIIMS Delhi,Dr. Deepa Rao,Resolute Onyx
Max Saket,Dr. Sneha Reddy,Resolute Onyx
Lilavati Hospital,Dr. Priya Nair,MiStent SES
